% Model,NMC-Graphit.mph
% Version,COMSOL 5.2.1.152
% Date,"Jun 19 2017, 15:21"
% Table,Table 1 - Point Evaluation 1 (v)
% Time (s),"v (V), Point: 4"
1790,3.480427280754805
1795,3.479936942871687
1800,3.479443804387856
1805,3.4789478653033123
1810,3.478449125618056
1815,3.4779475853320863
1820,3.477443244445404
1825,3.4769361029580086
1830,3.4764261608699005
1835,3.4759134181810794
1840,3.4753978748915455
1845,3.474879531001299
1850,3.4743583865103393
1855,3.4738344414186666
1860,3.4733076957262816
1865,3.472778149433183
1870,3.4722458025393723
1875,3.471710655044848
1880,3.4711727069496114
1885,3.4706319582536618
1890,3.470088408956999
1895,3.4695420590596235
1900,3.468992908561535
1905,3.4684409574627337
1910,3.46788620576322
1915,3.467328653462993
1920,3.466768300562053
1925,3.4662051470604003
1930,3.465639192958035
1935,3.465070438254956
1940,3.464498882951165
1945,3.463924527046661
1950,3.463347370541444
1955,3.4627674134355138
1960,3.4621926783830936
1965,3.4617314225653955
1970,3.4612732300054607
1975,3.4608181007032903
1980,3.4603660346588843
1985,3.4599170318722425
1990,3.4594710923433647
1995,3.459028216072251
2000,3.4585884030589016
2005,3.4581516533033168
2010,3.4577179668054954
2015,3.4572873435654383
2020,3.4568597835831456
2025,3.4564352868586172
2030,3.4560138533918527
2035,3.4555954831828526
2040,3.4551801762316163
2045,3.454767932538145
2050,3.4543587521024373
2055,3.4539526349244936
2060,3.4535495810043146
2065,3.4531495903418996
2070,3.4527526629372485
2075,3.4523587987903617
2080,3.451967997901239
2085,3.451580260269881
2090,3.4511955858962864
2095,3.4508139747804565
2100,3.450443773640288
2105,3.450084367773835
2110,3.449729111054358
2115,3.4493780034818573
2120,3.4490310450563335
2125,3.4486882357777855
2130,3.4483495756462132
2135,3.448015064661618
2140,3.4476847028239987
2145,3.447358490133355
2150,3.4470364265896887
2155,3.4467185121929975
2160,3.4464047469432835
2165,3.446095130840545
2170,3.445789663884783
2175,3.4454883460759973
2180,3.445191177414188
2185,3.4448981578993543
2190,3.4446092875314975
2195,3.4443245663106166
2200,3.444043994236712
2205,3.4437675713097837
2210,3.4434952975298314
2215,3.4432271728968553
2220,3.442963197410856
2225,3.442703371071832
2230,3.442447693879785
2235,3.4421952893552246
2240,3.4419168562859395
2245,3.4416403989970767
2250,3.4413659174886373
2255,3.44109341176062
2260,3.440822881813025
2265,3.440554327645853
2270,3.4402877492591037
2275,3.4400231466527766
2280,3.4397605198268724
2285,3.4394998687813905
2290,3.4392411935163314
2295,3.438984494031695
2300,3.4387297703274813
2305,3.43847702240369
2310,3.438226250260321
2315,3.437977453897375
2320,3.4377306333148514
2325,3.4374857885127503
2330,3.437242919491072
2335,3.4370020262498167
2340,3.4367631087889836
2345,3.436526167108573
2350,3.4362912012085847
2355,3.4360582110890197
2360,3.435827196749877
2365,3.4355981581911568
2370,3.435371095412859
2375,3.435135389109981
2380,3.434890368394094
2385,3.434645840084973
2390,3.4344018041826163
2395,3.4341582606870253
2400,3.433915209598199
2405,3.433672650916138
2410,3.433430584640841
2415,3.43318901077231
2420,3.432947929310544
2425,3.432707340255543
2430,3.432467243607307
2435,3.4322276393658364
2440,3.431988527531131
2445,3.4317499081031895
2450,3.431511781082014
2455,3.4312741464676035
2460,3.431037004259958
2465,3.4308003544590777
2470,3.430564197064962
2475,3.430328532077612
2480,3.4300933594970267
2485,3.429858679323206
2490,3.429624491556151
2495,3.429390796195861
2500,3.429157593242336
2505,3.428924882695576
2510,3.4286926645555815
2515,3.428435853365195
2520,3.428178850704107
2525,3.4279218480430194
2530,3.427664845381932
2535,3.4274078427208443
2540,3.4271508400597566
2545,3.4268938373986693
2550,3.4266368347375815
2555,3.4263798320764938
2560,3.426122829415406
2565,3.4258658267543187
2570,3.425608824093231
2575,3.4253518214321432
2580,3.425094818771056
2585,3.424837816109968
2590,3.4245808134488804
2595,3.4243238107877927
2600,3.4240668081267054
2605,3.4238098054656176
2610,3.42355280280453
2615,3.4232958001434426
2620,3.423038797482355
2625,3.422781794821267
2630,3.4225247921601794
2635,3.422267789499092
2640,3.4220107868380043
2645,3.4217537841769166
2650,3.421496781515829
2655,3.4212397788547415
2660,3.4209827761936538
2665,3.420725773532566
2670,3.4204687708714787
2675,3.420211768210391
2680,3.419954765549303
2685,3.4196977628882155
2690,3.419440760227128
2695,3.4191837575660404
2700,3.4189267549049527
2705,3.4186697522438654
2710,3.4184127495827776
2715,3.41815574692169
2720,3.417898744260602
2725,3.417641741599515
2730,3.417384738938427
2735,3.4171277362773393
2740,3.416870733616252
2745,3.4166137309551643
2750,3.4163567282940766
2755,3.416099725632989
2760,3.4158427229719015
2765,3.4155857203108138
2770,3.415328717649726
2775,3.4150717149886387
2780,3.414814712327551
2785,3.414557709666463
2790,3.4141690889553686
2795,3.4137743274410988
2800,3.413379565926829
2805,3.4129848044125586
2810,3.4125900428982887
2815,3.4121952813840184
2820,3.4118005198697485
2825,3.411405758355478
2830,3.4110109968412083
2835,3.4106162353269385
2840,3.410221473812668
2845,3.4098267122983983
2850,3.409431950784128
2855,3.409037189269858
2860,3.4086424277555882
2865,3.408247666241318
2870,3.407852904727048
2875,3.4074581432127777
2880,3.407063381698508
2885,3.4066686201842376
2890,3.4062738586699677
2895,3.405879097155698
2900,3.4054843356414275
2905,3.4050895741271576
2910,3.4046948126128873
2915,3.4043000510986174
2920,3.403905289584347
2925,3.4035105280700773
2930,3.4031157665558074
2935,3.402721005041537
2940,3.402326243527267
2945,3.401931482012997
2950,3.401536720498727
2955,3.4011419589844567
2960,3.400747197470187
2965,3.400352435955917
2970,3.3999576744416466
2975,3.399562912927377
2980,3.3991681514131065
2985,3.3987733898988366
2990,3.3983786283845667
2995,3.3979838668702964
3000,3.3975891053560265
3005,3.3971943438417562
3010,3.3967995823274864
3015,3.396404820813216
3020,3.396010059298946
3025,3.3956152977846763
3030,3.395220536270406
3035,3.394825774756136
3040,3.394431013241866
3045,3.394036251727596
3050,3.3936414902133256
3055,3.3932467286990557
3060,3.392851967184786
3065,3.392044847291144
3070,3.391201136170467
3075,3.39035742504979
3080,3.3895137139291127
3085,3.388670002808435
3090,3.387826291687758
3095,3.386982580567081
3100,3.3861388694464036
3105,3.3852951583257265
3110,3.3844514472050493
3115,3.383607736084372
3120,3.3827640249636945
3125,3.3819203138430174
3130,3.3810766027223402
3135,3.380232891601663
3140,3.379389180480986
3145,3.3785454693603088
3150,3.3777017582396316
3155,3.376858047118954
3160,3.376014335998277
3165,3.3751706248775997
3170,3.3743269137569225
3175,3.3734832026362453
3180,3.372639491515568
3185,3.3708351644454835
3190,3.3689845522900805
3195,3.3671339401346776
3200,3.365283327979275
3205,3.363432715823872
3210,3.3615821036684697
3215,3.3597314915130667
3220,3.3578808793576638
3225,3.3560302672022613
3230,3.3541796550468583
3235,3.3523290428914554
3240,3.350478430736053
3245,3.34862781858065
3250,3.3467772064252475
3255,3.3449265942698445
3260,3.3430759821144416
3265,3.341225369959039
3270,3.339374757803636
3275,3.337524145648233
3280,3.3356735334928307
3285,3.3338229213374277
3290,3.3319723091820252
3295,3.3301216970266223
3300,3.3282710848712194
3305,3.32471915544609
3310,3.321149291415153
3315,3.317579427384216
3320,3.3140095633532787
3325,3.310439699322341
3330,3.306869835291404
3335,3.3032999712604667
3340,3.2997301072295295
3345,3.296160243198592
3350,3.2925903791676547
3355,3.288690771856365
3360,3.283274976115997
3365,3.2778591803756285
3370,3.27244338463526
3375,3.267027588894892
3380,3.2616117931545237
3385,3.256195997414155
3390,3.2507802016737872
3395,3.245364405933419
3400,3.2399486101930504
3405,3.2345328144526824
3410,3.228028499791834
3415,3.2196523307656766
3420,3.2112761617395194
3425,3.202899992713362
3430,3.194523823687205
3435,3.1861476546610477
3440,3.176793722041535
3445,3.1661426420046626
3450,3.1554915619677897
3455,3.144840481930917
3460,3.1341894018940444
3465,3.1235383218571715
3470,3.1117474418854276
3475,3.098779269129076
3480,3.085811096372724
3485,3.072842923616372
3490,3.05987475086002
3495,3.0469065781036684
3500,3.0326986937146576
3505,3.0169571886216953
3510,3.000526307935354
3515,2.983406051655635
3520,2.9655964197825377
3525,2.947097412316063
3530,2.9266817821032207
3535,2.90361680845938
3540,2.8790681893078363
3545,2.8530359246485903
3550,2.825520014481641
3555,2.7965204588069894
3560,2.7662454437311967
3565,2.734928656978546
3570,2.7022936238630693
3575,2.668340344384767
3580,2.633068818543639
3585,2.5964790463396854
3590,2.558927228463235
3595,2.5201924485873954
3600,2.480257363385636
