      7.614	         0
      19.58	         0
      20.67	      0.46
      21.75	     0.977
      21.75	      1.15
      22.84	      1.72
      22.84	       2.3
      22.84	      2.36
      22.84	      2.53
      22.84	      2.59
      22.84	      2.64
      22.84	      2.76
      22.84	      2.93
      22.84	       3.1
      22.84	      3.28
      22.84	      3.39
      22.84	      3.56
      22.84	      3.68
      22.84	      3.74
      22.84	      3.91
      22.84	      4.02
      22.84	      4.08
      22.84	       4.2
      22.84	      4.25
      22.84	      4.31
      22.84	      4.48
      22.84	      4.71
      22.84	      4.89
      22.84	      5.06
      22.84	      5.17
      22.84	      5.23
      22.84	      5.34
      22.84	      5.52
      22.84	      5.69
      22.84	       5.8
      22.84	      5.86
      22.84	      5.92
      22.84	      6.03
      22.84	      6.15
      22.84	      6.38
      22.84	      6.49
      22.84	      6.67
      22.84	      6.84
      22.84	      6.95
      22.84	      7.01
      23.93	      7.59
      23.93	      7.76
      23.93	      7.82
      23.93	      7.99
      23.93	       8.1
      23.93	      8.16
      23.93	      8.39
      23.93	      8.74
      23.93	      9.25
      25.02	      9.83
      25.02	      9.94
      25.02	      10.2
      25.02	      10.9
      25.02	      10.6
      25.02	      10.4
      25.02	      9.77
      25.02	      9.14
      25.02	      8.62
       26.1	      8.97
      27.19	      9.43
      28.28	      9.77
      29.37	      10.2
      30.46	      10.5
      30.46	      10.3
      30.46	      10.3
      30.46	      10.2
      30.46	      10.1
      30.46	      9.83
      32.63	      9.37
      33.72	      8.91
      34.81	      8.45
      34.81	      8.33
      35.89	      7.76
      35.89	      7.64
      35.89	      7.47
      36.98	       6.9
      36.98	      6.84
      36.98	      6.55
      36.98	      6.38
      36.98	      6.26
      36.98	      6.15
      36.98	      5.98
      36.98	       5.8
      36.98	      5.69
      36.98	      5.57
      36.98	       5.4
      36.98	      5.17
      38.07	       4.6
      38.07	      4.37
      39.16	      3.85
      40.24	      3.51
      41.33	      3.22
      42.42	      2.76
      42.42	      2.53
      43.51	      1.95
      43.51	      1.78
      43.51	      1.61
      43.51	      1.49
       44.6	      0.92
      45.68	     0.402
      46.77	     0.172
      48.95	    -0.402
      50.03	    -0.747
      51.12	    -0.345
      52.21	    0.0575
       53.3	     0.575
      54.38	     0.115
      55.47	     -0.23
      56.56	    -0.575
      57.65	     -1.03
      58.74	     -1.49
      60.91	     -2.07
         62	     -2.41
      63.09	      -1.9
